rank,model_name,score,organization,computational_cost,api_cost_input,api_cost_output,swe_bench_pro,notes
1,GPT-5.5,88.7,OpenAI,Very High,$5.00/1M tokens,$30.00/1M tokens,58.6%,"Released April 23, 2026, first fully retrained base model since GPT-4.5, current SWE-bench Verified leader"
2,Claude Opus 4.7,87.6,Anthropic,High,$5.00/1M tokens,$25.00/1M tokens,64.3%,"Released April 16, 2026, first Claude model with high-resolution image support (2576px / 3.75MP, 3x prior Claude models), new xhigh effort level for finer reasoning/latency tradeoff, task budgets (public beta)"
3,GPT-5.3 Codex,85.0,OpenAI,High,$1.75/1M tokens,$14.00/1M tokens,56.8%,"Released February 5, 2026, combines GPT-5.2 and GPT-5.2-Codex capabilities, previous SWE-bench Pro SOTA (56.8%)"
4,Claude Opus 4.5,80.9,Anthropic,High,$5.00/1M tokens,$25.00/1M tokens,45.9%,"Released November 2025, first model to score over 80% on SWE-bench Verified, best coding model in the world"
5,Claude Opus 4.6,80.8,Anthropic,High,"$5.00/1M tokens (<200K), $10.00/1M tokens (>200K)","$25.00/1M tokens (<200K), $37.50/1M tokens (>200K)",53.4%,"Released February 5, 2026, biggest single-generation leap in abstract reasoning, ARC-AGI-2 from 37.6% to 68.8%"
6,Gemini 3.1 Pro,80.6,Google,High,"$2.00/1M tokens (<200K), $4.00/1M tokens (>200K)","$12.00/1M tokens (<200K), $18.00/1M tokens (>200K)",54.2%,"Released February 19, 2026 (preview), 2.5x stronger reasoning than Gemini 3 Pro, 1M token context, first .1 increment in Gemini versioning, 82% improvement in agentic tool use"
7,DeepSeek V4-Pro,80.6,DeepSeek,Medium,"$1.74/1M tokens (cache miss), $0.145/1M tokens (cache hit)",$3.48/1M tokens,55.4%,"Released April 24, 2026, open-weight model trained on Huawei Ascend 950PR chips, tied with Gemini 3.1 Pro for highest open-weight SWE-bench Verified score, MIT license"
8,MiniMax M2.5,80.2,MiniMax,Medium,"$0.30/1M tokens (Lightning), $0.15/1M tokens (Standard)","$2.40/1M tokens (Lightning), $1.20/1M tokens (Standard)",55.4%,"Released February 13, 2026, frontier open-weight model with 37% faster inference than M2.1, trained with Forge RL framework across 200K+ environments"
9,Kimi K2.6,80.2,Moonshot AI,Medium,$0.60/1M tokens,$2.50/1M tokens,58.6% (new SOTA),"Released April 20, 2026, open-weight frontier model with ~1T total parameters (32B active), new SWE-bench Pro SOTA at 58.6%"
10,GPT-5.2 Thinking,80.0,OpenAI,Very High,$1.75/1M tokens,$14.00/1M tokens,55.6% (new SOTA),"Released December 11, 2025, advanced reasoning model with extended thinking capabilities"
